Flavor;nrWorker;batch;learningRate;momentum;sync;sizeSeconds;time;acc;cost
intel14_v2;1;1;1e-06;0.9;sync;666;675.9317910671234;0.19104335110971288;0.2260616323457824
intel14_v2;1;1;1e-06;0.9;sync;2000;2003.0603420734406;0.3955799240889826;0.6699124032934507
intel14_v2;1;1;1e-06;0.9;sync;6000;6000.799828052521;0.5271129005940897;2.006934164715343
intel14_v2;1;1;1e-06;0.9;sync;18000;17713.96587395668;0.5966733657730979;5.92433747562329
intel14_v2;2;1;1e-06;0.99;sync;222;231.31223917007446;0.27440701654474287;0.13981539789835612
intel14_v2;2;1;1e-06;0.99;sync;666;674.807862997055;0.3545313428652731;0.40788386385599773
intel14_v2;2;1;1e-06;0.99;sync;2000;2000.4659731388092;0.5048308201982052;1.2091705437639024
intel14_v2;2;1;1e-06;0.99;sync;6000;6027.056791067123;0.642020541117456;3.6430209937116835
intel14_v2;2;1;1e-06;0.99;sync;18000;17586.255251169205;0.7350068023644556;10.629914285151164
intel14_v2;2;2;0.0001;0.99;sync;222;222.3008291721344;0.27498175017160303;0.1343685011884901
