dataset,size,epoch,lr,momentum,bacth,weightDecay,testError,testLoss,trainTime,testTime,stdTestError,stdTestLoss,stdTrainTime,stdTestTime
mnist,0.0625,1,0.1,0.99,512,0.0001,0.902,2.301899578094482,2.064800500869751,1.0340564250946045,0,0,0,0
mnist,0.0625,1,0.01,0.0,64,0.0,0.899,2.303689571380615,1.9735713005065918,1.037635087966919,0,0,0,0
mnist,0.0625,1,0.01,0.0,64,0.01,0.899,2.303682765197754,2.1093239784240723,1.080773115158081,0,0,0,0
mnist,0.0625,1,0.01,0.0,64,0.001,0.899,2.303688891983032,2.0704686641693115,1.0717568397521973,0,0,0,0
mnist,0.0625,1,0.01,0.0,64,0.0001,0.899,2.303689520263672,2.0525004863739014,1.0455284118652344,0,0,0,0
mnist,0.0625,1,0.01,0.0,128,0.0,0.899,2.303965927505493,1.7570676803588867,0.9161372184753418,0,0,0,0
mnist,0.0625,1,0.01,0.0,128,0.01,0.899,2.3039608848571778,1.7541921138763428,0.9257330894470215,0,0,0,0
mnist,0.0625,1,0.01,0.0,128,0.001,0.899,2.3039655391693117,1.8592469692230225,0.9319777488708496,0,0,0,0
mnist,0.0625,1,0.01,0.0,128,0.0001,0.899,2.3039658515930177,1.7779676914215088,0.9120111465454102,0,0,0,0
mnist,0.0625,1,0.01,0.0,256,0.0,0.899,2.304110260772705,1.8263273239135742,0.9845731258392334,0,0,0,0
mnist,0.0625,1,0.01,0.0,256,0.01,0.899,2.304106892776489,1.8230419158935547,0.9402358531951904,0,0,0,0
mnist,0.0625,1,0.01,0.0,256,0.001,0.899,2.3041098625183105,1.956906795501709,1.0233752727508545,0,0,0,0
mnist,0.0625,1,0.01,0.0,256,0.0001,0.899,2.3041102661132813,1.83518385887146,0.926560640335083,0,0,0,0
mnist,0.0625,1,0.01,0.0,512,0.0,0.899,2.3041897006988528,2.1016218662261963,1.1267731189727783,0,0,0,0
mnist,0.0625,1,0.01,0.0,512,0.01,0.899,2.3041876655578615,2.15301775932312,1.1125807762145996,0,0,0,0
mnist,0.0625,1,0.01,0.0,512,0.001,0.899,2.3041894622802737,2.1213154792785645,1.0436069965362549,0,0,0,0
mnist,0.0625,1,0.01,0.0,512,0.0001,0.899,2.3041897064208983,2.2026655673980713,1.1683645248413086,0,0,0,0
mnist,0.0625,1,0.01,0.9,64,0.0,0.902,2.300886498641968,2.057025671005249,0.9886190891265869,0,0,0,0
mnist,0.0625,1,0.01,0.9,64,0.01,0.902,2.3012651390075685,2.0404181480407715,1.0375418663024902,0,0,0,0
mnist,0.0625,1,0.01,0.9,64,0.001,0.902,2.3009315814971925,2.0090858936309814,1.0054600238800049,0,0,0,0
mnist,0.0625,1,0.01,0.9,64,0.0001,0.902,2.300891470336914,1.965358018875122,1.0507152080535889,0,0,0,0
mnist,0.0625,1,0.01,0.9,128,0.0,0.9017,2.3025409385681153,1.7853875160217285,0.9481086730957031,0,0,0,0
mnist,0.0625,1,0.01,0.9,128,0.01,0.9016,2.302578772354126,1.8753252029418945,0.9402046203613281,0,0,0,0
mnist,0.0625,1,0.01,0.9,128,0.001,0.9017,2.3025431358337403,1.8428564071655273,0.9292373657226562,0,0,0,0
mnist,0.0625,1,0.01,0.9,128,0.0001,0.9017,2.3025411399841307,1.8675904273986816,0.9287338256835938,0,0,0,0
mnist,0.0625,1,0.01,0.9,256,0.0,0.899,2.3035305461883544,1.9149608612060547,0.9861752986907959,0,0,0,0
mnist,0.0625,1,0.01,0.9,256,0.01,0.899,2.3035236392974854,1.7521319389343262,0.9359512329101562,0,0,0,0
mnist,0.0625,1,0.01,0.9,256,0.001,0.899,2.3035298400878905,1.9178357124328613,0.9960494041442871,0,0,0,0
mnist,0.0625,1,0.01,0.9,256,0.0001,0.899,2.303530460357666,1.8981420993804932,0.9768383502960205,0,0,0,0
